Brand,Engine_Capacity_CC,Year_of_Manufacture,Kilometers_Driven,Fuel_Type,Usage_Type,Location,Selling_Price_KES
TVS,150,2017,83646,Petrol,Commercial,Nairobi,61000
SkyGo,200,2021,84982,Petrol,Commercial,Eldoret,84000
Honda,110,2020,71333,Petrol,Private,Nairobi,89000
TVS,150,2026,0,Petrol,Commercial,Nairobi,172000
Bajaj Boxer,100,2016,134716,Petrol,Private,Nairobi,50000
Bajaj Boxer,100,2020,70857,Petrol,Commercial,Mombasa,64000
Bajaj Boxer,150,2016,140349,Petrol,Commercial,Mombasa,50000
Yamaha,150,2016,123656,Petrol,Commercial,Kisumu,75000
Honda,0,2026,811,Electric,Private,Eldoret,212000
Honda,190,2025,10524,Petrol,Commercial,Nairobi,184000
Bajaj Boxer,125,2017,101701,Petrol,Commercial,Kisumu,45000
SkyGo,150,2016,100847,Petrol,Commercial,Nairobi,40000
Haojue,110,2018,86112,Petrol,Commercial,Eldoret,59000
Bajaj Boxer,100,2023,30070,Petrol,Commercial,Nakuru,98000
Bajaj Boxer,0,2023,32311,Electric,Private,Mombasa,155000
Bajaj Boxer,150,2015,159685,Petrol,Commercial,Kisumu,35000
Bajaj Boxer,150,2022,44944,Petrol,Commercial,Nairobi,128000
TVS,125,2026,3393,Petrol,Commercial,Nairobi,152000
TVS,150,2021,58991,Petrol,Commercial,Nakuru,106000
Bajaj Boxer,150,2024,27394,Petrol,Private,Nairobi,140000
Honda,110,2017,146430,Petrol,Commercial,Nairobi,59000
Bajaj Boxer,100,2015,108848,Petrol,Commercial,Nairobi,57000
Bajaj Boxer,125,2019,119109,Petrol,Commercial,Nakuru,74000
TVS,125,2018,136937,Petrol,Private,Nairobi,64000
TVS,150,2024,27580,Petrol,Private,Nairobi,146000
Haojue,110,2022,63278,Petrol,Commercial,Kisumu,86000
Bajaj Boxer,100,2015,138886,Petrol,Commercial,Nakuru,60000
TVS,150,2024,20279,Petrol,Commercial,Nairobi,135000
TVS,125,2015,128267,Petrol,Private,Nairobi,70000
Bajaj Boxer,125,2026,0,Petrol,Commercial,Nairobi,149000
Honda,125,2018,99769,Petrol,Commercial,Nairobi,78000
Bajaj Boxer,100,2022,50318,Petrol,Commercial,Nairobi,100000
Bajaj Boxer,150,2019,89040,Petrol,Commercial,Kisumu,69000
SkyGo,200,2016,86123,Petrol,Commercial,Kisumu,48000
SkyGo,150,2020,73739,Petrol,Private,Mombasa,86000
Haojue,150,2019,97190,Petrol,Commercial,Nairobi,59000
Bajaj Boxer,100,2016,146462,Petrol,Commercial,Nakuru,37000
Bajaj Boxer,125,2025,14743,Petrol,Commercial,Nairobi,128000
Honda,110,2025,14663,Petrol,Private,Thika,159000
TVS,150,2025,12009,Petrol,Commercial,Mombasa,155000
Bajaj Boxer,125,2017,149305,Petrol,Private,Nairobi,61000
TVS,0,2026,148,Electric,Commercial,Kisumu,194000
Bajaj Boxer,125,2021,91937,Petrol,Commercial,Nairobi,84000
Yamaha,150,2021,78741,Petrol,Commercial,Kisumu,110000
Bajaj Boxer,150,2025,5833,Petrol,Commercial,Nairobi,152000
Honda,0,2025,5222,Electric,Commercial,Nairobi,182000
Bajaj Boxer,150,2022,52564,Petrol,Private,Eldoret,120000
TVS,150,2018,114514,Petrol,Commercial,Nairobi,69000
TVS,150,2022,52720,Petrol,Commercial,Nakuru,97000
Bajaj Boxer,100,2018,93718,Petrol,Commercial,Nairobi,61000
SkyGo,0,2023,15876,Electric,Private,Mombasa,150000
Haojue,0,2026,1302,Electric,Private,Kisumu,209000
SkyGo,150,2017,75129,Petrol,Commercial,Mombasa,41000
Yamaha,0,2024,14715,Electric,Private,Nairobi,155000
TVS,150,2025,17473,Petrol,Commercial,Nairobi,143000
Yamaha,125,2016,150520,Petrol,Commercial,Nairobi,57000
Bajaj Boxer,100,2024,24322,Petrol,Private,Nairobi,129000
Bajaj Boxer,100,2017,139738,Petrol,Private,Kisumu,54000
Bajaj Boxer,100,2017,103129,Petrol,Commercial,Thika,54000
Bajaj Boxer,125,2019,108933,Petrol,Commercial,Eldoret,71000
TVS,125,2019,96952,Petrol,Commercial,Nakuru,66000
Bajaj Boxer,100,2016,104927,Petrol,Private,Nakuru,54000
Haojue,150,2026,3356,Petrol,Commercial,Kisumu,152000
TVS,125,2024,29229,Petrol,Commercial,Nairobi,123000
Bajaj Boxer,150,2020,48875,Petrol,Commercial,Eldoret,86000
TVS,150,2019,98475,Petrol,Commercial,Kisumu,74000
Bajaj Boxer,0,2025,9460,Electric,Commercial,Mombasa,166000
Haojue,110,2015,133357,Petrol,Private,Nairobi,38000
Bajaj Boxer,150,2019,84270,Petrol,Commercial,Nairobi,65000
Ranger,200,2023,27101,Petrol,Commercial,Nairobi,107000
Haojue,150,2026,1852,Petrol,Commercial,Eldoret,148000
Bajaj Boxer,125,2024,26664,Petrol,Private,Mombasa,130000
Bajaj Boxer,100,2016,124819,Petrol,Commercial,Nairobi,45000
Haojue,110,2015,137717,Petrol,Commercial,Thika,43000
Honda,0,2023,35444,Electric,Private,Nairobi,148000
Honda,110,2025,11362,Petrol,Private,Nairobi,171000
Haojue,150,2023,42577,Petrol,Private,Nairobi,101000
